Regione;"Celle 20m x 20m
raggiunte";Punti terminazione dichiarati;"Punti terminazione geograficamente distinti
(passo 5m)";"Indirizzi postali distinti
(se forniti/disponibili)";"Celle 20m x 20m
raggiunte
FTTH";"Punti terminazione dichiarati
FTTH";"Punti terminazione geograficamente distinti (passo 5m)
FTTH";"Indirizzi postali distinti
(se forniti/disponibili)
FTTH";"Celle 20m x 20m
raggiunte
FTTC"
Abruzzo;297345;2282955;613632;1446106;120666;268215;224610;246185;193540
Basilicata;101340;1102771;283629;650937;29759;76411;67404;83155;72324
Calabria;367176;4780341;861845;2618856;56839;153522;111560;263546;329344
Campania;732837;6547433;1671979;4054498;276318;664236;543966;759860;537347
Emilia-Romagna;1073211;6230335;1899998;3390921;348646;697854;571505;493467;800319
Friuli Venezia Giulia;387957;2102047;618784;878805;129323;204644;176035;117829;324389
Lazio;881480;7284667;1895226;3479302;314721;698008;578465;706822;690133
Liguria;285175;2338769;569385;1143524;78924;259946;157922;246475;207478
Lombardia;1863332;10637234;3298240;4974597;596977;1041180;881526;597942;1393833
Marche;368726;2306815;709549;1537448;123774;214854;197188;154666;247364
Molise;82707;693650;218111;522638;54327;127108;116144;117361;40801
Piemonte;960766;4575689;1659993;2460190;333492;571667;489053;263335;497612
Puglia;631054;7526928;1852227;3502665;164318;542875;418997;567455;572940
Sardegna;380183;2966109;888280;2141761;79663;155472;144125;105891;294027
Sicilia;837227;10387862;2561576;5044934;342956;1172260;872142;1119723;665595
Toscana;796425;6211897;1651466;3293655;236563;575344;449623;517618;652975
Trentino-Alto Adige;241622;1007457;392412;639214;76952;126707;109350;62608;113819
Umbria;200425;1206865;361026;694856;80314;153818;131270;117496;133963
Valle d'Aosta;45230;172069;79322;111818;11441;16753;16332;3508;15450
Veneto;1374884;7021413;2261469;3496595;472061;860716;722120;542121;940536
