DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y11,99,2021,291582,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y11,99,2022,288645,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y11,99,2023,281120,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y11,99,2024,277888,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y11,99,2025,267634,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y11,99,2026,265606,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y12,99,2019,293239,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y12,99,2020,292641,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y12,99,2021,294561,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y12,99,2022,292919,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y12,99,2023,289714,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y12,99,2024,282542,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y12,99,2025,279153,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y12,99,2026,269442,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y13,99,2019,291565,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y13,99,2020,293544,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y13,99,2021,294772,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y13,99,2022,295957,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y13,99,2023,294025,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y13,99,2024,291214,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y13,99,2025,283906,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y13,99,2026,281196,e,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y14,99,2019,293836,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y14,99,2020,292112,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y14,99,2021,295760,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y14,99,2022,296180,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y14,99,2023,297185,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y14,99,2024,295569,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y14,99,2025,292623,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,IT,JAN,1,Y14,99,2026,285949,e,,,,,,,,,
