FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;AGE;Età;MARITAL_STATUS;Stato civile;TIME_PERIOD;Osservazione;OBS_STATUS;stato_osservazione
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;78;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;78;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;80;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;80;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;77;;
A;Annuale;4006;Argentera;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;76;e;Dato stimato
A;Annuale;4007;Arguello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;196;;
A;Annuale;4007;Arguello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;196;;
A;Annuale;4007;Arguello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;196;;
A;Annuale;4007;Arguello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;199;;
A;Annuale;4007;Arguello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;200;;
A;Annuale;4007;Arguello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;195;;
A;Annuale;4007;Arguello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;194;;
A;Annuale;4007;Arguello;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;190;e;Dato stimato
A;Annuale;4008;Bagnasco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2019;1023;;
A;Annuale;4008;Bagnasco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2020;1019;;
A;Annuale;4008;Bagnasco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2021;995;;
A;Annuale;4008;Bagnasco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2022;973;;
A;Annuale;4008;Bagnasco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2023;961;;
A;Annuale;4008;Bagnasco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2024;961;;
A;Annuale;4008;Bagnasco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2025;931;;
A;Annuale;4008;Bagnasco;JAN;Popolazione al 1º gennaio;9;Totale;TOTAL;Totale;99;Totale;2026;929;e;Dato stimato
